Country Name,2012,2013,2014,2015
Albania,0.0646113,0.0697389,0.0718166,0.0694661
Algeria,0.0449729,0.0275894,0.0262429,0.0340705
Angola,0.0196872,0.0123693,0.0158326,0.0148889
Antigua and Barbuda,1.410904,1.576889,1.521917,1.658562
Argentina,0.3999306,0.4116948,0.403086,0.4138435
Aruba,2.52828,2.396843,2.359366,2.42429
Australia,2.859924,3.052824,3.871626,3.547307
Austria,2.044857,2.006421,2.027339,1.953703
Azerbaijan,0.0275546,0.0754309,0.1298915,0.1578295
"Bahamas, The",3.638076,1.725991,1.763026,1.818499
Bahrain,0.4025452,0.4226556,0.4042811,0.3926167
Bangladesh,0.6178776,0.5511614,0.5267605,0.4840384
Barbados,1.775233,1.280239,2.03435,4.427783
Belarus,0.0385775,0.0554235,0.0584548,0.0647598
Belgium,5.430401,4.114692,4.018055,3.659094
Belize,0.7676144,0.7743398,0.8467646,0.8052025
Benin,0.1800498,0.1755892,0.1828443,0.204335
Bolivia,0.2564197,0.291885,0.3104298,0.3622402
Bosnia and Herzegovina,0.328559,0.3725705,0.4184553,0.4320975
Botswana,2.30633,2.049425,1.892829,2.283678
Brazil,1.597672,1.435167,0.3657056,0.3636869
Brunei Darussalam,0.2973472,0.3181139,0.3402192,0.4347154
Bulgaria,0.2965679,0.3338748,0.3520223,0.3809669
Burkina Faso,0.2193293,0.2305066,0.2570462,0.2801686
Burundi,0.2224308,0.2357545,0.2416364,0.2366104
Cabo Verde,0.0711903,0.0740352,0.0655949,0.0908066
Cameroon,0.2664351,0.2544399,0.2528451,0.2775096
Canada,2.882059,2.869764,3.039755,3.187183
Chad,0.0104007,0.012929,0.0126431,0.0184466
Chile,2.515844,2.510472,2.456199,2.846198
China,1.652568,1.580462,1.686124,1.912929
Colombia,1.029172,1.268854,1.097727,1.160621
"Congo, Rep.",0.0462897,0.0498922,0.0559373,0.0789722
Costa Rica,0.2375737,0.2734463,0.2736252,0.2392371
Cote d'Ivoire,0.6783369,0.6724316,0.6328837,0.608277
Croatia,0.7435205,0.7645968,0.7961368,0.8639142
Cyprus,1.837884,1.7736,1.744332,1.717108
Czech Republic,1.762022,1.727614,1.637958,1.349417
Denmark,6.823638,6.898089,7.071607,7.238714
Dominican Republic,0.1951994,0.1916016,0.1888212,0.2080803
Ecuador,0.3444999,0.3789459,0.3229547,0.3612334
"Egypt, Arab Rep.",0.3272918,0.3667448,0.3814698,0.3197605
El Salvador,0.8764083,0.9533917,0.9964383,0.992054
Eritrea,0.0049011,0.00512,0.0040364,0.0042772
Estonia,0.3514466,0.3629398,0.3755583,0.3758103
Eswatini,0.7190976,0.8241041,1.489038,0.9230663
Ethiopia,0.0363417,0.0345494,0.025811,0.0242713
Fiji,1.694096,1.762065,1.486075,1.343519
Finland,1.976498,2.731571,2.944671,2.959712
France,5.669275,5.879559,6.263669,6.412602
Gabon,0.1733792,0.2014126,0.1966059,0.2000267
Georgia,0.0831471,0.0440371,0.0534963,0.0745636
Germany,3.269139,3.230654,3.19994,3.061516
Ghana,0.350633,0.3798135,0.3735304,0.391275
Greece,0.9959794,0.8920498,1.004767,0.9518629
Guatemala,0.248675,0.2564323,0.2696875,0.251246
Guyana,0.2832819,0.051586,0.0547526,0.0878538
Haiti,0.0473125,0.0348163,0.0479136,0.1578726
Honduras,0.5618353,0.616009,0.5854267,0.6079184
"Hong Kong SAR, China",11.00234,12.0524,13.08372,13.68253
Hungary,1.393285,1.44071,1.396128,1.266663
Iceland,0.1870995,0.1848675,0.1863702,0.1971204
India,2.980192,2.883997,2.686241,2.740279
Indonesia,1.190213,1.073737,1.017517,1.102425
"Iran, Islamic Rep.",0.1406926,0.1501819,0.2754287,0.3264611
Ireland,5.283617,5.851253,5.276891,4.38212
Israel,2.109804,2.061439,1.93637,2.057516
Italy,4.291886,5.27667,6.791051,6.943954
Jamaica,1.948101,2.178437,1.954444,2.008602
Japan,6.676736,6.318446,6.771624,6.720515
Jordan,0.1975055,0.1938502,0.2030523,0.2227951
Kazakhstan,0.1690781,0.1571664,0.1184289,0.1346343
Kenya,0.889898,0.9362131,1.047295,0.9876367
"Korea, Rep.",8.006922,5.146305,7.074876,7.069494
Kuwait,0.0872001,0.0860778,0.0939745,0.1324948
Lao PDR,0.0094184,0.0075105,0.0073799,0.0091499
Latvia,0.2784873,0.2927147,0.3484271,0.3652764
Lebanon,0.826679,0.8412273,0.8325673,0.8755913
Lesotho,2.766451,2.861283,2.925366,2.828547
Lithuania,0.499582,0.5186514,0.5870097,0.6253188
Luxembourg,2.664528,2.728827,4.015076,2.554254
"Macao SAR, China",1.086871,1.205144,1.568192,3.323396
Madagascar,0.1434508,0.1579937,0.143158,0.1316675
Malawi,0.3412143,0.3618475,0.3650914,0.5821546
